,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
0,f,group B,bachelor's degree,standard,none,72,72,74
1,f,group C,some college,standard,completed,69,90,88
2,f,group B,master's degree,standard,none,90,95,93
3,m,group A,associate's degree,free/reduced,none,47,57,44
4,m,group C,some college,standard,none,76,78,75
5,f,group B,associate's degree,standard,none,71,83,78
6,f,group B,some college,standard,completed,88,95,92
7,m,group B,some college,free/reduced,none,40,43,39
8,m,group D,high school,free/reduced,completed,64,64,67
9,f,group B,high school,free/reduced,none,38,60,50
10,m,group C,associate's degree,standard,none,58,54,52
11,m,group D,associate's degree,standard,none,40,52,43
12,f,group B,high school,standard,none,65,81,73
13,m,group A,some college,standard,completed,78,72,70
14,f,group A,master's degree,standard,none,50,53,58
15,f,group C,some high school,standard,none,69,75,78
16,m,group C,high school,standard,none,88,89,86
17,f,group B,some high school,free/reduced,none,18,32,28
18,m,group C,master's degree,free/reduced,completed,46,42,46
19,f,group C,associate's degree,free/reduced,none,54,58,61
20,m,group D,high school,standard,none,66,69,63
21,f,group B,some college,free/reduced,completed,65,75,70
22,m,group D,some college,standard,none,44,54,53
23,f,group C,some high school,standard,none,69,73,73
24,m,group D,bachelor's degree,free/reduced,completed,74,71,80
25,m,group A,master's degree,free/reduced,none,73,74,72
26,m,group B,some college,standard,none,69,54,55
27,f,group C,bachelor's degree,standard,none,67,69,75
28,m,group C,high school,standard,none,70,70,65
29,f,group D,master's degree,standard,none,62,70,75
30,f,group D,some college,standard,none,69,74,74
31,f,group B,some college,standard,none,63,65,61
32,f,group E,master's degree,free/reduced,none,56,72,65
33,m,group D,some college,standard,none,40,42,38
34,m,group E,some college,standard,none,97,87,82
35,m,group E,associate's degree,standard,completed,81,81,79
36,f,group D,associate's degree,standard,none,74,81,83
37,f,group D,some high school,free/reduced,none,50,64,59
38,f,group D,associate's degree,free/reduced,completed,75,90,88
39,m,group B,associate's degree,free/reduced,none,57,56,57
40,m,group C,associate's degree,free/reduced,none,55,61,54
41,f,group C,associate's degree,standard,none,58,73,68
42,f,group B,associate's degree,standard,none,53,58,65
